id,County,District,School Type,Kindergarteners_with_Vaccination_Record,value,Exempt Rate
GROVE PUBLIC SCHOOL,POTTAWATOMIE,GROVE,Public,56,0.964,0.036
GROVE VALLEY ES,OKLAHOMA,DEER CREEK,Public,135,0.859,0.030
GYPSY PUBLIC SCHOOL,CREEK,GYPSY,Public,*,*,*
HAILEYVILLE ES,PITTSBURG,HAILEYVILLE,Public,18,0.778,0.000
HAMILTON ES,TULSA,TULSA,Public,62,0.887,0.000
HAMMON ES,ROGER MILLS,HAMMON,Public,18,0.944,0.000
HANNA ES,MCINTOSH,HANNA,Public,*,*,*
Happy Hands Education Center,TULSA,ACSI,Private,*,*,*
HARDESTY ES,TEXAS,HARDESTY,Public,*,*,*
HARMONY PUBLIC SCHOOL,ATOKA,HARMONY,Public,27,0.852,0.074
HARTSHORNE ES,PITTSBURG,HARTSHORNE,Public,44,0.955,0.045
HARVEST HILLS ES,OKLAHOMA,PUTNAM CITY,Public,59,0.763,0.000
HAWTHORNE ES (OKLAHOMA COUNTY),OKLAHOMA,OKLAHOMA CITY,Public,67,0.955,0.030
HAWTHORNE ES (TULSA COUNTY),TULSA,TULSA,Public,32,0.938,0.031
HAYES ES (GARFIELD COUNTY),GARFIELD,ENID,Public,47,0.957,0.021
HAYES ES (OKLAHOMA COUNTY),OKLAHOMA,OKLAHOMA CITY,Public,63,0.921,0.000
HAYWARD SMITH ES,TULSA,OWASSO,Public,70,0.914,0.014
HAYWOOD PUBLIC SCHOOL,PITTSBURG,HAYWOOD,Public,*,*,*
HEALDTON ES,CARTER,HEALDTON,Public,22,0.909,0.091
HEAVENER ES,LE FLORE,HEAVENER,Public,52,0.981,0.000
HELEN PAUL LEARNING CTR,ROGERS,CATOOSA,Public,139,0.914,0.014
HENNESSEY LOWER ES,KINGFISHER,HENNESSEY,Public,76,0.895,0.013
HENRY ZARROW INTERNATIONAL SCH,TULSA,TULSA,Public,96,0.906,0.052
HENRYETTA ES,OKMULGEE,HENRYETTA,Public,86,0.988,0.000
HERITAGE ES (CHEROKEE COUNTY),CHEROKEE,TAHLEQUAH,Public,105,0.962,0.000
HERITAGE ES (OKLAHOMA COUNTY),OKLAHOMA,EDMOND,Public,109,0.697,0.073
Heritage Hall School,OKLAHOMA,ISAS,Private,46,0.891,0.043
HERITAGE TRAILS ES,CLEVELAND,MOORE,Public,72,0.931,0.111
HERONVILLE ES,OKLAHOMA,OKLAHOMA CITY,Public,74,0.851,0.000
HIGHLAND PARK ES (OKLAHOMA COUNTY),OKLAHOMA,MIDWEST CITY-DEL CITY,Public,83,0.904,0.000
HIGHLAND PARK ES (PAYNE COUNTY),PAYNE,STILLWATER,Public,98,0.867,0.010
HIGHLAND PARK ES (TULSA COUNTY),TULSA,BROKEN ARROW,Public,122,0.934,0.057
HILLCREST ES,OKLAHOMA,OKLAHOMA CITY,Public,79,0.924,0.000
HILLDALE ES,OKLAHOMA,PUTNAM CITY,Public,117,0.906,0.000
HILLDALE LOWER ES,MUSKOGEE,HILLDALE,Public,125,0.968,0.000
Hillsdale Christian School,GARFIELD,ACSI,Private,*,*,*
HINTON ES,CADDO,HINTON,Public,36,0.972,0.000
HOBART ES,KIOWA,HOBART,Public,73,0.986,0.014
HODGEN PUBLIC SCHOOL,LE FLORE,HODGEN,Public,35,0.971,0.029
Holland Hall School,TULSA,ISAS,Private,38,0.974,0.053
HOLLIS ES,HARMON,HOLLIS,Public,48,0.938,0.000
HOLLY CREEK PUBLIC SCHOOL,MCCURTAIN,HOLLY CREEK,Public,21,1.000,0.000
HOLMES PARK ES,CREEK,SAPULPA,Public,99,0.919,0.000
Holy Family Cathedral School,TULSA,OCCSAA,Private,15,0.933,0.067
Holy Trinity Lutheran School,OKLAHOMA,NLSA,Private,29,0.828,0.034
HOMER ES,PONTOTOC,BYNG,Public,99,0.990,0.000
HOMER LONG ES,TEXAS,GUYMON,Public,93,0.978,0.000
HOMINY EARLY CHILDHOOD CENTER,OSAGE,HOMINY,Public,40,0.975,0.000
HOOKER ES (TEXAS COUNTY),TEXAS,HOOKER,Public,44,1.000,0.000
HOOVER ES (GARFIELD COUNTY),GARFIELD,ENID,Public,57,0.982,0.000
HOOVER ES (TULSA COUNTY),TULSA,TULSA,Public,60,0.817,0.033
HORACE MANN ES (OKLAHOMA COUNTY),OKLAHOMA,OKLAHOMA CITY,Public,48,0.917,0.021
HORACE MANN ES (STEPHENS COUNTY),STEPHENS,DUNCAN,Public,68,0.971,0.015
HOUCHIN ES,CLEVELAND,MOORE,Public,71,0.944,0.000
HUGH BISH ES,COMANCHE,LAWTON,Public,41,0.683,0.000
HUGO ES,CHOCTAW,HUGO,Public,118,0.992,0.017
HULBERT ES,CHEROKEE,HULBERT,Public,36,1.000,0.000
HUPFELD ACAD./WESTERN VILLAGE,OKLAHOMA,N/A,Charter,42,0.976,0.024
HYDRO-EAKLY ES,CADDO,HYDRO-EAKLY,Public,26,0.423,0.000
IDA FREEMAN ES,OKLAHOMA,EDMOND,Public,73,0.699,0.055
IDABEL PRIMARY SOUTH ES,MCCURTAIN,IDABEL,Public,104,0.904,0.010
